IdSensore,Tipologia,Unità.DiMisura,IdStazione,NomeStazione,Quota,Provincia,DataStart,DataStop,Storico,lng,lat,NomeProvincia
8208,Precipitazione,mm,910,Manerbio v.Dante,60,BS,09/04/2003,,N,10.14555158,45.35975344,Brescia
4037,Radiazione Globale,W/m²,144,Madesimo Spluga,1915,SO,19/11/2000,,N,9.34812808,46.47166446,Sondrio
8139,Precipitazione,mm,876,Caino,428,BS,01/02/2001,,N,10.32222392,45.60972056,Brescia
17585,Temperatura,°C,1889,Val Masino Merdarola,2280,SO,01/01/2008,,N,9.58163635,46.22931619,Sondrio
19344,Precipitazione,mm,1556,Prata Camportaccio Pratella,1035,SO,03/12/2015,,N,9.413906,46.292608,Sondrio
2452,Precipitazione,mm,133,Bema,958,SO,01/01/1993,,N,9.5693423,46.10552765,Sondrio
14545,Precipitazione,mm,1376,Puegnago del Garda,291,BS,19/04/2013,,N,10.5003309,45.5798378,Brescia
9869,Umidità Relativa,%,672,Cornale v.Libertà,74,PV,28/07/2005,,N,8.91415717,45.04008561,Pavia
2187,Temperatura,°C,114,Landriano Cascina Marianna,88,PV,29/09/2005,,N,9.26715311,45.32059361,Pavia
9017,Temperatura,°C,1205,Molteno Cimitero,278,LC,01/01/2004,,N,9.30710044,45.78301922,Lecco
19024,Radiazione Globale,W/m²,1422,Bergamo v.Maffei,249,BG,06/11/2013,,N,9.67466286,45.69520255,Bergamo
10658,Temperatura,°C,1898,Valganna Mondonico,665,VA,18/05/2020,,N,8.8106663,45.91491984,Varese
19345,Temperatura,°C,1560,Padenghe sul Garda v.Fondrini,187,BS,14/07/2016,,N,10.50612,45.518286,Brescia
8092,Temperatura,°C,832,Lanzada Palù,2151,SO,01/01/1992,,N,9.88452786,46.2929069,Sondrio
19333,Temperatura,°C,1551,Premana v.Luciani papa,910,LC,08/07/2015,,N,9.419878,46.0519,Lecco
6161,Umidità Relativa,%,586,Costa Volpino v.Nazionale,192,BG,26/07/1993,,N,10.09707131,45.82716061,Bergamo
8096,Temperatura,°C,912,Foppolo,1682,BG,01/01/1998,,N,9.75610761,46.04249594,Bergamo
19293,Temperatura,°C,1514,Carenno centro sportivo,633,LC,08/05/2018,,N,9.46596925,45.8009939,Lecco
17562,Temperatura,°C,1879,Montichiari Boschetti,92,BS,13/12/2018,,N,10.41406192,45.40275984,Brescia
