IdSensore,Data,Valore,Stato
5933,2023-08-03,0,VA
5933,2023-08-04,0.4,VA
5933,2023-08-05,0.2,VA
5933,2023-08-06,0,VA
5933,2023-08-07,0,VA
5933,2023-08-08,0,VA
5933,2023-08-09,0,VA
5933,2023-08-10,0,VA
5933,2023-08-11,0,VA
5933,2023-08-12,0,VA
5933,2023-08-13,0,VA
5933,2023-08-14,0.6,VA
5933,2023-08-15,0,VA
5933,2023-08-16,0,VA
5933,2023-08-17,1.8,VA
5933,2023-08-18,0,VA
5933,2023-08-19,0,VA
5933,2023-08-20,0,VA
5933,2023-08-21,0,VA
5933,2023-08-22,0,VA
5933,2023-08-23,0,VA
5933,2023-08-24,0,VA
5933,2023-08-25,0,VA
5933,2023-08-26,40.8,VA
5933,2023-08-27,26.2,VA
5933,2023-08-28,59,VA
5933,2023-08-29,0.4,VA
5933,2023-08-30,0,VA
5933,2023-08-31,0,VA
5933,2023-09-01,0,VA
5933,2023-09-02,0,VA
5933,2023-09-03,0,VA
5933,2023-09-04,0,VA
5933,2023-09-05,0,VA
5933,2023-09-06,0,VA
5933,2023-09-07,0,VA
5933,2023-09-08,0,VA
5933,2023-09-09,0,VA
5933,2023-09-10,0,VA
5933,2023-09-11,0,VA
5933,2023-09-12,0,VA
5933,2023-09-13,15,VA
5933,2023-09-14,7.8,VA
5933,2023-09-15,22.4,VA
5933,2023-09-16,14.6,VA
5933,2023-09-17,0,VA
5933,2023-09-18,8.8,VA
5933,2023-09-19,0.2,VA
5933,2023-09-20,3.4,VA
5933,2023-09-21,5.6,VA
5933,2023-09-22,11,VA
5933,2023-09-23,0.4,VA
5933,2023-09-24,0,VA
5933,2023-09-25,0,VA
5933,2023-09-26,0,VA
5933,2023-09-27,0,VA
5933,2023-09-28,0,VA
5933,2023-09-29,0,VA
5933,2023-09-30,0,VA
5933,2023-10-01,0,VA
5933,2023-10-02,0,VA
5933,2023-10-03,0,VA
5933,2023-10-04,0,VA
5933,2023-10-05,0,VA
5933,2023-10-06,0,VA
5933,2023-10-07,0,VA
5933,2023-10-08,0,VA
5933,2023-10-09,0,VA
5933,2023-10-10,0,VA
5933,2023-10-11,0,VA
5933,2023-10-12,0,VA
5933,2023-10-13,0,VA
5933,2023-10-14,0,VA
5933,2023-10-15,0,VA
5933,2023-10-16,0,VA
5933,2023-10-17,0,VA
5933,2023-10-18,0.4,VA
5933,2023-10-19,7.4,VA
5933,2023-10-20,26.2,VA
5933,2023-10-21,6.2,VA
5933,2023-10-22,0.4,VA
5933,2023-10-23,0,VA
5933,2023-10-24,15.4,VA
5933,2023-10-25,0,VA
5933,2023-10-26,5,VA
5933,2023-10-27,8.8,VA
5933,2023-10-28,0,VA
5933,2023-10-29,0.6,VA
5933,2023-10-30,15.2,VA
5933,2023-10-31,7.4,VA
5933,2023-11-01,0,VA
5933,2023-11-02,40.2,VA
5933,2023-11-03,8.8,VA
5933,2023-11-04,13.8,VA
5933,2023-11-05,2.2,VA
5933,2023-11-06,0.8,VA
5933,2023-11-07,5.6,VA
5933,2023-11-08,0,VA
5933,2023-11-09,8.2,VA
5933,2023-11-10,0,VA
5933,2023-11-11,0,VA
5933,2023-11-12,0,VA
5933,2023-11-13,0,VA
5933,2023-11-14,0.8,VA
5933,2023-11-15,0,VA
5933,2023-11-16,0,VA
5933,2023-11-17,0.2,VA
5933,2023-11-18,0,VA
5933,2023-11-19,0,VA
5933,2023-11-20,0,VA
5933,2023-11-21,0,VA
5933,2023-11-22,0,VA
5933,2023-11-23,0,VA
5933,2023-11-24,0,VA
5933,2023-11-25,0,VA
5933,2023-11-26,0,VA
5933,2023-11-27,0,VA
5933,2023-11-28,0,VA
5933,2023-11-29,0,VA
5933,2023-11-30,5,VA
5933,2023-12-01,20.8,VA
5933,2023-12-02,4.4,VA
5933,2023-12-03,0,VA
5933,2023-12-04,1,VA
5933,2023-12-05,0,VA
5933,2023-12-06,0,VA
5933,2023-12-07,0,VA
5933,2023-12-08,2.2,VA
5933,2023-12-09,1,VA
5933,2023-12-10,0,VA
5933,2023-12-11,0,VA
5933,2023-12-12,0.6,VA
5933,2023-12-13,0.2,VA
5933,2023-12-14,0,VA
5933,2023-12-15,0,VA
5933,2023-12-16,0,VA
5933,2023-12-17,0,VA
5933,2023-12-18,0,VA
5933,2023-12-19,0,VA
5933,2023-12-20,0,VA
5933,2023-12-21,0.2,VA
5933,2023-12-22,0,VA
5933,2023-12-23,0,VA
5933,2023-12-24,0,VA
5933,2023-12-25,0,VA
5933,2023-12-26,0,VA
5933,2023-12-27,0,VA
5933,2023-12-28,0,VA
5933,2023-12-29,0,VA
5933,2023-12-30,0,VA
5933,2023-12-31,9.4,VA
5933,2024-01-01,0.2,VA
5933,2024-01-02,0.2,VA
5933,2024-01-03,0,VA
5933,2024-01-04,0,VA
5933,2024-01-05,44.8,VA
5933,2024-01-06,2.2,VA
5933,2024-01-07,0,VA
5933,2024-01-08,2.6,VA
5933,2024-01-09,0.2,VA
5933,2024-01-10,0,VA
5933,2024-01-11,0,VA
5933,2024-01-12,0,VA
5933,2024-01-13,0,VA
5933,2024-01-14,0,VA
5933,2024-01-15,0,VA
5933,2024-01-16,0,VA
5933,2024-01-17,8.6,VA
5933,2024-01-18,2.2,VA
5933,2024-01-19,0,VA
5933,2024-01-20,0,VA
5933,2024-01-21,0,VA
5933,2024-01-22,0,VA
5933,2024-01-23,0,VA
5933,2024-01-24,0,VA
5933,2024-01-25,0,VA
5933,2024-01-26,0,VA
5933,2024-01-27,0,VA
5933,2024-01-28,0,VA
5933,2024-01-29,0,VA
5933,2024-01-30,0,VA
5933,2024-01-31,0,VA
5933,2024-02-01,0,VA
5933,2024-02-02,0,VA
5933,2024-02-03,0,VA
5933,2024-02-04,0,VA
5933,2024-02-05,0,VA
5933,2024-02-06,0,VA
5933,2024-02-07,0,VA
5933,2024-02-08,2.2,VA
5933,2024-02-09,41.4,VA
5933,2024-02-10,52,VA
5933,2024-02-11,5.8,VA
5933,2024-02-12,0,VA
5933,2024-02-13,0,VA
5933,2024-02-14,0,VA
5933,2024-02-15,0,VA
5933,2024-02-16,0,VA
5933,2024-02-17,0,VA
5933,2024-02-18,0,VA
5933,2024-02-19,0,VA
5933,2024-02-20,0,VA
5933,2024-02-21,0,VA
5933,2024-02-22,24.8,VA
5933,2024-02-23,33.4,VA
5933,2024-02-24,0,VA
5933,2024-02-25,1.4,VA
5933,2024-02-26,34.2,VA
5933,2024-02-27,33.8,VA
5933,2024-02-28,4.6,VA
5933,2024-02-29,2.6,VA
5933,2024-03-01,33.8,VA
5933,2024-03-02,16.4,VA
5933,2024-03-03,10.8,VA
5933,2024-03-04,7.6,VA
5933,2024-03-05,10,VA
5933,2024-03-06,8,VA
5933,2024-03-07,0,VA
5933,2024-03-08,4.2,VA
5933,2024-03-09,11,VA
5933,2024-03-10,68.8,VA
5933,2024-03-11,0.6,VA
5933,2024-03-12,0.2,VA
5933,2024-03-13,0,VA
5933,2024-03-14,0,VA
5933,2024-03-15,0,VA
5933,2024-03-16,0,VA
5933,2024-03-17,0,VA
5933,2024-03-18,0,VA
5933,2024-03-19,0,VA
5933,2024-03-20,0,VA
5933,2024-03-21,0,VA
5933,2024-03-22,0,VA
5933,2024-03-23,1.6,VA
5933,2024-03-24,0,VA
5933,2024-03-25,0,VA
5933,2024-03-26,6.4,VA
5933,2024-03-27,36.8,VA
5933,2024-03-28,7,VA
5933,2024-03-29,12.2,VA
5933,2024-03-30,18.2,VA
5933,2024-03-31,15.2,VA
5933,2024-04-01,10,VA
5933,2024-04-02,0,VA
5933,2024-04-03,1,VA
5933,2024-04-04,0,VA
5933,2024-04-05,0,VA
5933,2024-04-06,0,VA
5933,2024-04-07,0,VA
5933,2024-04-08,0,VA
5933,2024-04-09,8.6,VA
5933,2024-04-10,12.4,VA
5933,2024-04-11,0,VA
5933,2024-04-12,0,VA
5933,2024-04-13,0,VA
5933,2024-04-14,0,VA
5933,2024-04-15,0,VA
5933,2024-04-16,0,VA
5933,2024-04-17,0,VA
5933,2024-04-18,0,VA
5933,2024-04-19,0,VA
5933,2024-04-20,0,VA
5933,2024-04-21,0,VA
5933,2024-04-22,18.2,VA
5933,2024-04-23,1,VA
5933,2024-04-24,0.4,VA
5933,2024-04-25,0,VA
5933,2024-04-26,2,VA
5933,2024-04-27,4.6,VA
5933,2024-04-28,14.2,VA
5933,2024-04-29,0,VA
5933,2024-04-30,0,VA
5933,2024-05-01,9.6,VA
5933,2024-05-02,63.8,VA
5933,2024-05-03,5.6,VA
5933,2024-05-04,0.2,VA
5933,2024-05-05,0,VA
5933,2024-05-06,0.2,VA
5933,2024-05-07,17.4,VA
5933,2024-05-08,17.6,VA
5933,2024-05-09,0.2,VA
5933,2024-05-10,0,VA
5933,2024-05-11,0.4,VA
5933,2024-05-12,0,VA
